Department,Date,Budget_Revenue,Actual_Revenue,Budget_COGS,Actual_COGS,Budget_Shipping,Actual_Shipping,Budget_Salary,Actual_Salary,Budget_Taxes,Actual_Taxes
HR,"Friday,January 01,2021",395972?,339936.61,227804,208460.71,17647,29415.57,45000,45000,15541,10913.48
Operations,"Thursday,January 07,2021",365564,374467.34,231415,222569.35,14911,27433.58,52000,52000,29938,15910.42
IT,"Wednesday,January 13,2021",458896,424174.67,89081,83726,13472,22484.28,60000,60000,7443,NA
Operations,"Tuesday,January 19,2021",231373,250137.13,243928,272698.31,23271,19539.42,52000,52000,15457,-19945.46
Operations,"Monday,January 25,2021",215294,235265.65$,143105,136637.15,8266,23028.1,52000,52000,15380,4379.04
Marketing,"Sunday,January 31,2021",224019,243299.56,269930,308790.83,5666,14297.53,55000,55000,12783,-30923.21
IT,"Saturday,February 06,2021",165726,160514.51,69065,67975.43,9188,13563.52$,60000,60000,49241,3022.79
IT,"Friday,February 12,2021",241564,257389.02,264532,250122.8,22055,15455.36,60000,60000,22368,-14239.27
IT,"Thursday,February 18,2021",477812!,507024.16,138092,151545.56,15161,38935.09,60000,60000,20328,50820.57
Operations,"Wednesday,February 24,2021",368246,342385.97,104693,111464.22,28161,18774.33,52000,52000,31215!,34308.79
HR,"Wednesday,March 03,2021",281408,297512.66,76962,78851.33,16314,21575.19,45000,45000,38595,23799.25
IT,"Tuesday,March 09,2021",218015,187329.8,78295,81336.05,28954,16449.09,60000,60000,32306,6145.24
Operations,"Monday,March 15,2021",316386,316090.96,63807,68898.83,29340$,21297.76,52000,52000,24915,35848.06
Marketing,"Sunday,March 21,2021",354079,321327.47,223420,213838.34,26508,26749.09,55000,55000,44915,5304.15
HR,"Saturday,March 27,2021",126641,111462.03,207504,238439.42,26969,10006.22,45000,45000,42219,-38280.03
Marketing,"Friday,April 02,2021",265656,230918.37,264357,302344.65,17891,22251.04,55000,55000,20343,-32359.14
HR,"Thursday,April 08,2021",263817,270167.65,288067,306094.64,9777,16678.02,45000,45000,n/a,-22497.85
Operations,"Wednesday,April 14,2021",465890,435592.59,272864,259189.59,8900,30476.58,52000,52000,5126,16623.29
Sales,"Tuesday,April 20,2021",136631,140892.75,238926,255664.45,28061,8118.35,50000,50000,32632,-40197.79
HR,"Monday,April 26,2021",342289,296538.34,221334,203195.59,18716,29542.39,45000,45000,46563,3756.79
Marketing,"Monday,May 03,2021",172991,160677.95,218152,198008.53,11981,15481.33,55000,55000,49409,-17002.57
Operations,"Sunday,May 09,2021",104014,102440.56,182396,175906.48,11376,7887.7,52000,52000,25530,-20783.84
HR,"Saturday,May 15,2021",373237,391033.24,141267,143478.64,21907,36014.81,45000,45000,44964,30547.37
Sales,"Friday,May 21,2021",118070,109768.28,216981,242382.56,23777,8347.65,50000,50000,49327,-43632.83
Sales,"Thursday,May 27,2021",397921,400496.68,270411,292528.53,23977,32512.03,50000,50000,8368,5619.9
IT,"Wednesday,June 02,2021",156958,168179.62,69870,75856.23,15160,9158.43,60000,60000,8797,5301.57
IT,"Tuesday,June 08,2021",182074,182796.07,215650,217024.41,19124,16042.83,60000,60000,18718!,-22244.66
Marketing,"Monday,June 14,2021",110729,100568.49,253196.0?,249773.74,21282,5670.62,55000,55000,39560,-40720.1
HR,"Sunday,June 20,2021",330785,283185.1,298683,296520.44,28624,25855.76,45000,45000,16053,-13870.08
HR,"Sunday,June 27,2021",276089,294731.83,284677,326499.58,28321,26261.02,45000,45000,27116,-18835.65
IT,"Saturday,July 03,2021",297392,254364.54,76790,69881,15488,21732.2,60000,60000,41244,19872.31
HR,"Friday,July 09,2021",258823,276597.78,168874,188591.37,27574,14329.98,45000,45000,41185,4555.54
HR,"Thursday,July 15,2021",205864,202206.68,75289,78652.07,10240,13175.06,45000,45000,6645,11249.28
Sales,"Wednesday,July 21,2021",493002,534792.26,236201,238481.25,15453,33775.14,50000,50000,24256,44594.81
IT,"Tuesday,July 27,2021",309141,324504.01,274786,297130.06,15478,22068.49,60000,60000,40840,-12227.86
Operations,"Monday,August 02,2021",467654,514177.87,275318,281283.38,27877,27962.09,52000,52000,39622,38207.83
IT,"Sunday,August 08,2021",154748,145103.79,65485,73235.53,17394,14053,60000,60000,42430,-531.57
Operations,"Saturday,August 14,2021",105801,110223.17,NA,106308.83,24262,8563.25,52000,52000,44282,-12137.4
Sales,"Friday,August 20,2021",250262,237869.71,136188,136927.53,25527,15527.23,50000,50000,7708,6804.09
Marketing,"Friday,August 27,2021",335362,325290.71,54748,53062.14,25028,22721.26,55000,55000,16694!,41550.21
HR,"Thursday,September 02,2021",129592,130483.12,267841,280720.83,9432,9441.78,45000,45000,14524,-46782.6
Sales,"Wednesday,September 08,2021",372791,398297.09,190507,214909.2,18568,31875.6,50000,50000,36880,16428.1
HR,"Tuesday,September 14,2021",239788,262812.65,53709,51166.71,19178,19916.99,45000,45000,44224,28023.83
Marketing,"Monday,September 20,2021",319963,333423.32,173961,183657.87,22660,31998.5,55000,55000,41980,14686.23
Marketing,"Sunday,September 26,2021",348710,332823.36,80355,85006.76,27195,24911.22,55000,55000,37409,31630.57
Sales,"Saturday,October 02,2021",320984,306648.61,236843,256566.87!,5302,30544.62,50000,50000,18224,-6311.52
Marketing,"Friday,October 08,2021",472771,489032.23,238871,222840.83,22022,45270.32,55000,55000,45738,34640.49
Operations,"Thursday,October 14,2021",432460,393406.39,194188,209520.35,5055,23771.79,52000,52000,30150,18211.59
Marketing,"Wednesday,October 20,2021",358067,314246.23,206542,232826.15,18013,30334.11,55000,55000,39393,-728.88
HR,"Wednesday,October 27,2021",364512,342151.21,223416,211110.42,13717,19098.31,45000,45000,48082,12280.67
HR,"Tuesday,November 02,2021",177575,163690.37,92918,89144.21,13150,14874.95,45000,45000,12973,2239.12
HR,"Monday,November 08,2021",368799,340798.68,102224,116826.57,7125,23525.73,45000,45000,13577,23693.01
HR,"Sunday,November 14,2021",337549,306630.17,89298,84408.42,16479,28792.18,45000,45000,13070,34609.28
Operations,"Saturday,November 20,2021",170031,146315.64,289564,322457.39,20745,13666.3,52000,52000,13666,-42874.28
IT,"Friday,November 26,2021",187922,160573.43,130219,133223.08,21748,14499.18,60000,60000,41368,-9515.01
Sales,"Thursday,December 02,2021",224046,245762.91,111629,107365.64,11809,21996.15,50000,50000,11783,11943.74
HR,"Wednesday,December 08,2021",132097,126409.34,116040,129696.45,9621,8246.18,45000,45000,46914,-13797.96
Marketing,"Tuesday,December 14,2021",242038,228987.71,280590,283768.05,20034,12375.86,55000,55000,9971,-21490.9
HR,"Tuesday,December 21,2021",224862,229339.41,280907,288970.25,18623,16087.93,45000,45000,18490,-23294.58
Marketing,"Monday,December 27,2021",330229,298713.09,78016,77220.89,10126,17527.36,55000,55000,6990,35345.34
Marketing,"Sunday,January 02,2022",218834,237979.85,73960,77527.66,10122,20168.21,55000,55000,10299,19972.94
HR,"Saturday,January 08,2022",193848,202878.65,83591,78649.18,23030,13654.74,45000,45000,24956,11056.56
Operations,"Friday,January 14,2022",152921,133401.05,263920,,22302,13177.42,52000,52000,27359,-44926.4
Marketing,"Thursday,January 20,2022",280798,267992.26,153333,175160.42,24181,21988.39,55000,55000,42148!,3102.44
Marketing,"Wednesday,January 26,2022",226141,241921.02,292804,282419.23,27890,22044.82,55000,55000,33734,-23308.42
HR,"Tuesday,February 01,2022",281372,305621.48,164821,175399.9,10870,17306.19,45000,45000,9757,11093.84
Marketing,"Monday,February 07,2022",384821,372064.33,248713,244061.45,6531,34639.46,55000,55000,24097,6063.73
Marketing,"Sunday,February 13,2022",155609,156130.73,86395,94461.55,13172,15010.07,55000,55000,15395,-1858.3
HR,"Sunday,February 20,2022",327897,292404.93,292348,272678.36,24729,21741.21,45000,45000,21241,-9386.29
HR,"Saturday,February 26,2022",131024,143837.12,179695,205293.5,12673,11551.94,45000,45000,43356,-22856.45
Sales,"Friday,March 04,2022",170313,154630.23,203772,206512.2,28333,13644.65,50000,50000,32696,-25756.75
Operations,"Thursday,March 10,2022",489957,531937.96,84620,81151.65,11882?,31247.06,52000,52000,9944,83266.49
Operations,"Wednesday,March 16,2022",284078,287603.88,284286,261080.92,6906,21607.19,52000,52000,24816,-7810.84
Marketing,"Tuesday,March 22,2022",457429,458313.76,178148,167893.71,8086,32051.33,55000,55000,42011,42915.38
Operations,"Monday,March 28,2022",213632,208968.87,70559,72671.78,18503,11977.82,52000,52000,29917,11826.76
Marketing,"Sunday,April 03,2022",351451,319000.63,274117,269799.87,13152,21812.22,55000,55000,36195,-6216.38
Sales,"Saturday,April 09,2022",103051,92141.2,143396,158771.04,10750,4921.13,50000,50000,26566,-26218
HR,"Friday,April 15,2022",279819,253270.21,242714,244588.21,17772,,45000,45000,14916,-12113.17
HR,"Friday,April 22,2022",476836,427535.72,257611,247867.78,15267,24266.21,45000,45000,25806,17321.57
HR,"Thursday,April 28,2022",187235,195641.12,71732,75626.06,6062,19203.3,45000,45000,14984,8690.2
Operations,"Wednesday,May 04,2022",297484,278900.57,141362,152203.66,23360,,52000,52000,6759,9461.4
Sales,"Tuesday,May 10,2022",289407,250180.97,211426,199112.65,22680,24590.56,50000,50000,46949,-4143.93
Operations,"Monday,May 16,2022",311810,340582.47,63843,60134.03,11229,24394.18,52000,52000,31838,35647.85
Operations,"Sunday,May 22,2022",303687,325232.52,291080,264640.58,29025,21332.26,52000,52000,7482,-3065.65
Sales,"Saturday,May 28,2022",173523,187741.14,164065.0$,177862.95,21509,14138.24,50000,50000,29442,-9493.05
Sales,"Friday,June 03,2022",336175,369364.53,121726,129753.97,20147,26585.23$,50000,50000,38719,28887.27
Sales,"Thursday,June 09,2022",194476,173759.21,67640,68902.01,9632,9605.97,50000,50000,32965,10224.06
Sales,"Thursday,June 16,2022",333841,316835.31,102528,113912.98,11288,25993.59,50000,50000,7079,24747.8
HR,"Wednesday,June 22,2022",379163,394162.54,88413,97379.63,8596,23965.83,45000,45000,7717,51867.36
IT,"Tuesday,June 28,2022",445757,456457.47,102638,107394.1,16475,36963.65,60000,60000,32952,39462.84
IT,"Monday,July 04,2022",322866,286858.04,233808,261179.39,11168,23668.67,60000,60000,25908,-11525.93
Sales,"Sunday,July 10,2022",186672,196744.5,288964,274937.77,14795,11332.73,50000,50000,47460,-21397.9
IT,"Saturday,July 16,2022",173847,157524.53,160133,148600.21,12561,8359.43,60000,60000,29861,-9287.65
IT,"Friday,July 22,2022",444894,403053.68,156357,151265.61,13258,35887.13,60000,60000,12311,37516.59
Sales,"Thursday,July 28,2022",310706,305810.39,249938,228511.24,21616,22321.11,50000,50000,33071,816.02
IT,"Wednesday,August 03,2022",128251,128024.63,200159,206722.69,11371,6773.55,60000,60000,28570,-29565.95
Operations,"Tuesday,August 09,2022",203481,202467.98,222502,252350.96,25590,20194.83,52000,52000,23449,error
Marketing,"Tuesday,August 16,2022",,414360.93,205576,187040.42,19369,21915.15,55000,55000,38536,27785.03
Marketing,"Monday,August 22,2022",125945,134681.2,188186,175112.24,17910,11414.47,55000,55000,43258,-25641.14
Sales,"Sunday,August 28,2022",452996,415125.54,128859,130540.58,12943,41173.79,50000,50000,33865,29433.76
HR,"Saturday,September 03,2022",132217,116665.47,149657,169631.53,17199,7228.48,45000,45000,11645,
Sales,"Friday,September 09,2022",108308,116126.43,192047.0?,188021.51,20728,6632.27,50000,50000,43000,-31661.36
HR,"Thursday,September 15,2022",368093,400821.21,61023,62658.95,28275,22473.74,45000,45000,31737,55766.39
Marketing,"Wednesday,September 21,2022",283062,301611.59,71447,65044.86!,11738,19654.14,55000,55000,16485,39455.22
Sales,"Tuesday,September 27,2022",494366,520260.41,271541,254457.22,20913,28641.53,50000,50000,43565,29052.32
Operations,"Monday,October 03,2022",320552,324978.98,175899,201695.91,7472,27495.84,52000,52000,30522,8401.86
IT,"Sunday,October 09,2022",200235,197774.98,73959,84407.9,24123,10504.74,60000,60000,17342,7544.45
HR,"Sunday,October 16,2022",174740,152329.02,116203.0!,104726.21,26785,11496.44,45000,45000,45806,-1984.01
IT,"Saturday,October 22,2022",478496,,169156,192491.57,20679,45483,60000,60000,18087,39107.19
IT,"Friday,October 28,2022",428761,404395.43,210775,223375.13,6761,36678.06,60000,60000,42641,14814.97
Sales,"Thursday,November 03,2022",325913,298190.33,59337,66278.22,15167,24082.14,50000,50000,39249,33999.33
IT,"Wednesday,November 09,2022",,390735.29,96427,97746.6,15554,25519.97,60000,60000,15093,35230.21
Operations,"Tuesday,November 15,2022",492942,480110.19,111529,114752.08,22260,38982.45,52000,52000,21438,56667.64
IT,"Monday,November 21,2022",277247,241277.41,152023,155399.68,19277,18422.03,60000,60000,45411,1464.25
Sales,"Sunday,November 27,2022",238877,216194.63,134665,143649.32,8812,15415.58,50000,50000,31399,1762.47
Operations,"Saturday,December 03,2022",105237,107427.48,155787,145647.26,22844,6073.47,52000,52000,24846,-20303.69
Marketing,"Saturday,December 10,2022",120056,104332.59,212993,193289.74,23117,9841.72,55000,55000,20708,-28445.2
IT,"Friday,December 16,2022",276615,293986.9,83307,81389.48,6605,21310.88,60000,60000,49039,21190.91
Sales,"Thursday,December 22,2022",287628,280088.3,208427,224302.92,10622,16729.99,50000,50000,15998,-1807.23
Marketing,"Wednesday,December 28,2022",214548,208143.02,284340,270254.75,11767,14234.48,55000,55000,35678,-22661.38
Marketing,"Tuesday,January 03,2023",473632,472733.02,177016,189116.48,16613,33425.29,55000,55000,15682,34177.34
HR,"Monday,January 09,2023",234415,247582.15,54835,62647.78,28370,22623.29,45000,45000,13519,27575.33
Operations,"Sunday,January 15,2023",129375,121218.2,70159,64790.1,24901,10507.28,52000,52000,36480,-1253.05
IT,"Saturday,January 21,2023",240734,245429.29,285418,304869.39,15589,21711.96,60000,60000,24694,-28560.58
Sales,"Friday,January 27,2023",116964,115961.97,228677,231178.17,18918,5862.06,50000,50000,8300,-27625.18
HR,"Thursday,February 02,2023",213429,195662.54,171790,191895.54,25119,13854.41,45000,45000,11722,-13001.4
Operations,"Thursday,February 09,2023",352764,377336.66,155616,146946.24,18046,27948.27,52000,52000,44986,33440.5
HR,"Wednesday,February 15,2023",290710,305058.43,219160,235192.98,29818,15545.66,45000,45000,29160,1461.03
Operations,"Tuesday,February 21,2023",316139,320758.73,128752,142854.05,7590,20204.8,52000,52000,25059,23336.79
Operations,"Monday,February 27,2023",167215,177690.26,105284,119618.79,22447,15639.32,52000,52000,40822,-1955.23
IT,"Sunday,March 05,2023",431186,459999.38,107043,n/a,9324,26153.49,60000,60000,18575,41001.95
Operations,"Saturday,March 11,2023",244356,250975.79,,221881.48,15787,19266.28,52000,52000,12970,-8258.54
HR,"Friday,March 17,2023",303861,321865.78,147007,155013.27,14111,19556.59,45000,45000,39911,20302.63
Operations,"Thursday,March 23,2023",455612,466714.29,132844,148416.8,10342,,52000,52000,26591,40424.84
IT,"Wednesday,March 29,2023",109435,111627.55,77532,80838.93,21389,6927.61,60000,60000,36821,-8838.51
IT,"Tuesday,April 04,2023",275150,276430.23,NA,n/a,28873,27309.56,60000,60000,14503,-1502.75
HR,"Tuesday,April 11,2023",440976,457812.09,172402,195286.15,13659,41238.27,45000,45000,23922,38237.19
Marketing,"Monday,April 17,2023",151293,134598.01,168012,180172.99,19043,13187.76,55000,55000,17175,-22323.61
